RunningTime Objetos Architecture Effects Resolution
5.03 4000 APU 001 1440x900.sc
46.95 260000 APU 100 1440x900.sc
3.74 1000 APU 011 1280x720.sc
23.44 260000 APU 001 1440x900.sc
5.20 4000 APU 001 1440x900.sc
19.55 16000 APU 110 1280x720.sc
9.00 65000 APU 001 1280x720.sc
39.30 260000 APU 100 1280x720.sc
7.51 65000 APU 000 1920x1080.sc
124.93 260000 APU 101 1920x1080.sc
84.38 260000 APU 101 1280x720.sc
10.57 65000 APU 010 1440x900.sc
7.89 1000 APU 110 1920x1080.sc
8.70 16000 APU 001 1920x1080.sc
20.52 4000 APU 111 1440x900.sc
6.34 65000 APU 000 1280x720.sc
136.12 65000 APU 111 1920x1080.sc
4.94 4000 APU 001 1440x900.sc
5.20 1000 APU 100 1280x720.sc
6.28 16000 APU 010 1280x720.sc
6.23 65000 APU 000 1280x720.sc
18.42 65000 APU 011 1280x720.sc
29.11 65000 APU 011 1920x1080.sc
55.05 260000 APU 100 1920x1080.sc
13.66 16000 APU 100 1920x1080.sc
6.25 16000 APU 010 1280x720.sc
33.15 65000 APU 101 1280x720.sc
26.78 16000 APU 110 1920x1080.sc
5.97 1000 APU 100 1440x900.sc
26.20 16000 APU 110 1920x1080.sc
7.04 65000 APU 000 1440x900.sc
10.42 4000 APU 101 1280x720.sc
19.49 16000 APU 101 1280x720.sc
4.76 4000 APU 010 1280x720.sc
5.69 16000 APU 000 1920x1080.sc
6.81 4000 APU 100 1280x720.sc
16.39 65000 APU 100 1280x720.sc
76.67 260000 APU 110 1440x900.sc
7.45 4000 APU 011 1920x1080.sc
5.77 4000 APU 010 1920x1080.sc
7.46 16000 APU 001 1440x900.sc
22.71 16000 APU 110 1440x900.sc
28.47 260000 APU 001 1920x1080.sc
13.24 260000 APU 000 1440x900.sc
29.38 65000 APU 011 1920x1080.sc
7.34 4000 APU 011 1920x1080.sc
4.61 4000 APU 000 1440x900.sc
9.98 16000 APU 100 1280x720.sc
22.58 260000 APU 010 1920x1080.sc
4.51 4000 APU 001 1280x720.sc
13.79 16000 APU 100 1920x1080.sc
13.34 16000 APU 011 1440x900.sc
197.45 260000 APU 111 1280x720.sc
83.30 65000 APU 111 1280x720.sc
4.23 1000 APU 010 1920x1080.sc
7.34 1000 APU 111 1280x720.sc
43.91 65000 APU 110 1920x1080.sc
7.38 16000 APU 010 1440x900.sc
4.63 4000 APU 001 1280x720.sc
20.43 4000 APU 111 1440x900.sc
47.61 260000 APU 100 1440x900.sc
19.11 16000 APU 101 1280x720.sc
7.97 1000 APU 101 1920x1080.sc
19.01 260000 APU 010 1440x900.sc
6.89 4000 APU 100 1280x720.sc
10.50 16000 APU 011 1280x720.sc
6.02 1000 APU 100 1440x900.sc
11.20 16000 APU 100 1440x900.sc
6.96 1000 APU 101 1440x900.sc
4.10 1000 APU 000 1440x900.sc
6.59 1000 APU 110 1280x720.sc
41.83 260000 APU 011 1280x720.sc
11.25 65000 APU 001 1440x900.sc
24.74 16000 APU 101 1440x900.sc
55.79 16000 APU 111 1440x900.sc
5.12 4000 APU 010 1440x900.sc
10.38 65000 APU 010 1440x900.sc
110.71 65000 APU 111 1440x900.sc
4.26 1000 APU 000 1920x1080.sc
6.09 16000 APU 001 1280x720.sc
53.21 260000 APU 011 1440x900.sc
24.70 16000 APU 101 1440x900.sc
3.95 4000 APU 000 1280x720.sc
8.76 65000 APU 010 1280x720.sc
13.30 260000 APU 000 1440x900.sc
252.05 260000 APU 111 1440x900.sc
24.49 65000 APU 011 1440x900.sc
7.00 1000 APU 101 1440x900.sc
11.75 260000 APU 000 1280x720.sc
7.25 1000 APU 110 1440x900.sc
10.06 65000 APU 010 1440x900.sc
55.86 16000 APU 111 1440x900.sc
10.32 65000 APU 010 1440x900.sc
43.62 65000 APU 101 1440x900.sc
63.86 260000 APU 011 1920x1080.sc
7.20 16000 APU 010 1440x900.sc
84.02 260000 APU 101 1280x720.sc
249.30 260000 APU 111 1440x900.sc
11.86 4000 APU 110 1440x900.sc
16.68 260000 APU 010 1280x720.sc
8.60 16000 APU 001 1920x1080.sc
8.53 1000 APU 111 1440x900.sc
4.60 16000 APU 000 1280x720.sc
13.82 65000 APU 001 1920x1080.sc
11.83 260000 APU 000 1280x720.sc
8.74 65000 APU 010 1280x720.sc
30.26 65000 APU 110 1280x720.sc
15.03 4000 APU 101 1920x1080.sc
5.36 1000 APU 100 1280x720.sc
7.21 16000 APU 001 1440x900.sc
6.73 1000 APU 100 1920x1080.sc
22.35 16000 APU 110 1440x900.sc
32.92 65000 APU 101 1280x720.sc
3.74 1000 APU 010 1280x720.sc
124.67 260000 APU 101 1920x1080.sc
47.91 260000 APU 100 1440x900.sc
4.43 1000 APU 010 1920x1080.sc
9.33 65000 APU 001 1280x720.sc
8.30 4000 APU 100 1440x900.sc
30.36 16000 APU 101 1920x1080.sc
4.23 4000 APU 000 1280x720.sc
11.89 4000 APU 110 1440x900.sc
15.20 260000 APU 000 1920x1080.sc
7.71 65000 APU 000 1920x1080.sc
16.94 260000 APU 010 1280x720.sc
36.16 65000 APU 110 1440x900.sc
77.20 260000 APU 110 1440x900.sc
3.82 1000 APU 010 1280x720.sc
92.43 260000 APU 110 1920x1080.sc
53.11 260000 APU 011 1440x900.sc
41.74 260000 APU 011 1280x720.sc
22.23 260000 APU 010 1920x1080.sc
194.82 260000 APU 111 1280x720.sc
84.66 260000 APU 101 1280x720.sc
14.96 4000 APU 101 1920x1080.sc
3.80 1000 APU 011 1280x720.sc
19.80 260000 APU 001 1280x720.sc
22.62 260000 APU 010 1920x1080.sc
4.35 4000 APU 001 1280x720.sc
7.21 1000 APU 101 1440x900.sc
7.43 1000 APU 111 1280x720.sc
13.66 65000 APU 001 1920x1080.sc
23.73 65000 APU 011 1440x900.sc
7.78 65000 APU 000 1920x1080.sc
19.06 65000 APU 100 1440x900.sc
3.48 1000 APU 000 1280x720.sc
30.58 16000 APU 101 1920x1080.sc
4.14 4000 APU 000 1280x720.sc
11.44 65000 APU 001 1440x900.sc
4.49 1000 APU 011 1920x1080.sc
10.29 4000 APU 110 1280x720.sc
15.18 260000 APU 000 1920x1080.sc
15.49 16000 APU 011 1920x1080.sc
4.99 16000 APU 000 1440x900.sc
4.69 4000 APU 001 1440x900.sc
6.99 4000 APU 100 1280x720.sc
5.97 16000 APU 001 1280x720.sc
12.06 65000 APU 010 1920x1080.sc
10.23 65000 APU 010 1440x900.sc
7.11 1000 APU 110 1280x720.sc
15.26 260000 APU 000 1920x1080.sc
6.46 16000 APU 010 1280x720.sc
3.81 1000 APU 000 1440x900.sc
8.36 16000 APU 010 1920x1080.sc
64.61 260000 APU 011 1920x1080.sc
14.91 4000 APU 101 1920x1080.sc
12.52 4000 APU 101 1440x900.sc
6.18 16000 APU 001 1280x720.sc
10.47 16000 APU 011 1280x720.sc
5.46 4000 APU 010 1440x900.sc
82.95 65000 APU 111 1280x720.sc
43.95 65000 APU 110 1920x1080.sc
10.46 4000 APU 101 1280x720.sc
10.80 4000 APU 110 1280x720.sc
9.28 65000 APU 001 1280x720.sc
41.88 260000 APU 011 1280x720.sc
43.57 16000 APU 111 1280x720.sc
83.59 65000 APU 111 1280x720.sc
13.91 65000 APU 001 1920x1080.sc
76.38 260000 APU 110 1440x900.sc
5.50 4000 APU 001 1920x1080.sc
4.68 4000 APU 000 1440x900.sc
9.16 65000 APU 001 1280x720.sc
5.88 4000 APU 001 1920x1080.sc
5.71 4000 APU 010 1920x1080.sc
8.26 16000 APU 010 1920x1080.sc
5.53 4000 APU 010 1920x1080.sc
29.34 65000 APU 011 1920x1080.sc
111.41 65000 APU 111 1440x900.sc
4.38 4000 APU 000 1280x720.sc
6.54 1000 APU 110 1280x720.sc
4.18 1000 APU 011 1440x900.sc
8.10 1000 APU 101 1920x1080.sc
9.86 16000 APU 100 1280x720.sc
16.62 260000 APU 010 1280x720.sc
6.22 16000 APU 010 1280x720.sc
83.28 65000 APU 111 1280x720.sc
55.11 65000 APU 101 1920x1080.sc
24.63 4000 APU 111 1920x1080.sc
46.93 260000 APU 100 1440x900.sc
7.94 1000 APU 110 1920x1080.sc
13.48 16000 APU 011 1440x900.sc
5.17 16000 APU 000 1440x900.sc
5.63 4000 APU 011 1280x720.sc
18.28 65000 APU 011 1280x720.sc
6.35 4000 APU 011 1440x900.sc
24.04 16000 APU 101 1440x900.sc
11.54 65000 APU 001 1440x900.sc
3.78 1000 APU 011 1280x720.sc
9.95 16000 APU 100 1280x720.sc
12.55 4000 APU 101 1440x900.sc
6.11 1000 APU 100 1440x900.sc
33.30 65000 APU 101 1280x720.sc
12.20 65000 APU 010 1920x1080.sc
3.50 1000 APU 001 1280x720.sc
7.28 4000 APU 011 1920x1080.sc
66.66 260000 APU 110 1280x720.sc
9.14 65000 APU 010 1280x720.sc
23.74 260000 APU 001 1440x900.sc
65.61 16000 APU 111 1920x1080.sc
3.87 1000 APU 001 1440x900.sc
18.56 65000 APU 011 1280x720.sc
15.08 260000 APU 000 1920x1080.sc
30.10 65000 APU 110 1280x720.sc
19.82 260000 APU 001 1280x720.sc
39.93 260000 APU 100 1280x720.sc
5.95 65000 APU 000 1280x720.sc
194.91 260000 APU 111 1280x720.sc
6.72 1000 APU 100 1920x1080.sc
5.41 4000 APU 010 1440x900.sc
44.28 16000 APU 111 1280x720.sc
24.16 65000 APU 011 1440x900.sc
22.74 65000 APU 100 1920x1080.sc
8.81 1000 APU 111 1440x900.sc
4.64 16000 APU 000 1280x720.sc
12.55 4000 APU 101 1440x900.sc
22.70 65000 APU 100 1920x1080.sc
66.94 260000 APU 110 1280x720.sc
55.09 260000 APU 100 1920x1080.sc
11.38 16000 APU 100 1440x900.sc
4.79 4000 APU 000 1920x1080.sc
3.70 1000 APU 010 1280x720.sc
19.11 65000 APU 100 1440x900.sc
22.54 260000 APU 010 1920x1080.sc
6.41 4000 APU 011 1440x900.sc
19.95 260000 APU 001 1280x720.sc
17.25 4000 APU 111 1280x720.sc
7.96 1000 APU 110 1920x1080.sc
11.65 65000 APU 010 1920x1080.sc
66.62 260000 APU 110 1280x720.sc
10.50 16000 APU 011 1280x720.sc
6.73 1000 APU 100 1920x1080.sc
53.04 260000 APU 011 1440x900.sc
13.85 4000 APU 110 1920x1080.sc
44.36 65000 APU 110 1920x1080.sc
11.78 65000 APU 010 1920x1080.sc
65.94 16000 APU 111 1920x1080.sc
30.52 16000 APU 101 1920x1080.sc
15.48 16000 APU 011 1920x1080.sc
5.88 4000 APU 010 1920x1080.sc
8.11 4000 APU 100 1440x900.sc
8.70 1000 APU 111 1440x900.sc
39.91 260000 APU 100 1280x720.sc
5.15 1000 APU 100 1280x720.sc
5.70 16000 APU 000 1920x1080.sc
4.77 16000 APU 000 1280x720.sc
26.15 16000 APU 110 1920x1080.sc
4.18 1000 APU 001 1920x1080.sc
24.47 16000 APU 101 1440x900.sc
52.81 260000 APU 011 1440x900.sc
23.73 65000 APU 011 1440x900.sc
3.49 1000 APU 000 1280x720.sc
7.50 1000 APU 111 1280x720.sc
24.50 16000 APU 101 1440x900.sc
3.83 1000 APU 011 1280x720.sc
24.66 4000 APU 111 1920x1080.sc
8.31 4000 APU 100 1440x900.sc
12.65 4000 APU 101 1440x900.sc
250.96 260000 APU 111 1440x900.sc
11.81 4000 APU 110 1440x900.sc
4.54 1000 APU 011 1920x1080.sc
5.45 4000 APU 011 1280x720.sc
8.65 16000 APU 001 1920x1080.sc
43.97 65000 APU 110 1920x1080.sc
100.88 260000 APU 101 1440x900.sc
43.80 16000 APU 111 1280x720.sc
30.74 16000 APU 101 1920x1080.sc
6.67 1000 APU 110 1280x720.sc
19.07 16000 APU 101 1280x720.sc
110.33 65000 APU 111 1440x900.sc
7.75 1000 APU 111 1280x720.sc
65.51 16000 APU 111 1920x1080.sc
22.56 65000 APU 100 1920x1080.sc
7.30 1000 APU 110 1440x900.sc
36.03 65000 APU 110 1440x900.sc
23.73 260000 APU 001 1440x900.sc
7.98 1000 APU 101 1920x1080.sc
32.76 65000 APU 101 1280x720.sc
4.13 1000 APU 010 1920x1080.sc
4.31 1000 APU 001 1920x1080.sc
28.66 260000 APU 001 1920x1080.sc
249.54 260000 APU 111 1440x900.sc
82.88 65000 APU 111 1280x720.sc
4.01 1000 APU 010 1440x900.sc
43.93 65000 APU 101 1440x900.sc
92.52 260000 APU 110 1920x1080.sc
4.03 1000 APU 010 1440x900.sc
10.59 4000 APU 101 1280x720.sc
5.53 1000 APU 100 1280x720.sc
15.48 16000 APU 011 1920x1080.sc
24.25 65000 APU 011 1440x900.sc
6.84 1000 APU 101 1280x720.sc
101.49 260000 APU 101 1440x900.sc
3.51 1000 APU 000 1280x720.sc
4.88 16000 APU 000 1440x900.sc
47.94 260000 APU 100 1440x900.sc
4.35 1000 APU 010 1920x1080.sc
7.40 16000 APU 001 1440x900.sc
9.62 1000 APU 111 1920x1080.sc
6.44 4000 APU 011 1440x900.sc
19.35 260000 APU 010 1440x900.sc
7.10 65000 APU 000 1440x900.sc
10.57 4000 APU 101 1280x720.sc
32.54 65000 APU 101 1280x720.sc
306.25 260000 APU 111 1920x1080.sc
13.76 65000 APU 001 1920x1080.sc
39.83 260000 APU 100 1280x720.sc
43.99 16000 APU 111 1280x720.sc
196.81 260000 APU 111 1280x720.sc
7.35 4000 APU 011 1920x1080.sc
13.63 16000 APU 011 1440x900.sc
16.18 65000 APU 100 1280x720.sc
4.26 1000 APU 010 1920x1080.sc
5.44 4000 APU 010 1440x900.sc
14.90 4000 APU 101 1920x1080.sc
13.87 4000 APU 110 1920x1080.sc
10.90 4000 APU 110 1280x720.sc
6.72 1000 APU 101 1280x720.sc
84.71 260000 APU 101 1280x720.sc
19.44 16000 APU 101 1280x720.sc
9.42 4000 APU 100 1920x1080.sc
19.08 260000 APU 010 1440x900.sc
55.16 16000 APU 111 1440x900.sc
4.14 1000 APU 001 1440x900.sc
9.52 4000 APU 100 1920x1080.sc
5.67 16000 APU 000 1920x1080.sc
9.98 16000 APU 100 1280x720.sc
3.62 1000 APU 001 1280x720.sc
12.70 4000 APU 101 1440x900.sc
19.44 16000 APU 110 1280x720.sc
66.92 260000 APU 110 1280x720.sc
20.09 260000 APU 001 1280x720.sc
5.03 4000 APU 001 1440x900.sc
55.09 65000 APU 101 1920x1080.sc
4.51 1000 APU 011 1920x1080.sc
12.28 4000 APU 110 1440x900.sc
4.23 1000 APU 000 1920x1080.sc
101.18 260000 APU 101 1440x900.sc
15.58 16000 APU 011 1920x1080.sc
28.11 260000 APU 001 1920x1080.sc
4.00 4000 APU 000 1280x720.sc
24.31 4000 APU 111 1920x1080.sc
4.53 4000 APU 001 1280x720.sc
6.09 16000 APU 001 1280x720.sc
24.33 4000 APU 111 1920x1080.sc
30.34 65000 APU 110 1280x720.sc
13.35 260000 APU 000 1440x900.sc
5.38 1000 APU 100 1280x720.sc
5.69 4000 APU 011 1280x720.sc
3.99 1000 APU 000 1440x900.sc
124.96 260000 APU 101 1920x1080.sc
306.85 260000 APU 111 1920x1080.sc
3.41 1000 APU 000 1280x720.sc
20.26 4000 APU 111 1440x900.sc
5.62 4000 APU 001 1920x1080.sc
6.01 1000 APU 100 1440x900.sc
5.23 4000 APU 011 1280x720.sc
18.67 16000 APU 101 1280x720.sc
8.23 4000 APU 100 1440x900.sc
135.59 65000 APU 111 1920x1080.sc
305.31 260000 APU 111 1920x1080.sc
11.26 65000 APU 001 1440x900.sc
17.16 4000 APU 111 1280x720.sc
19.38 65000 APU 100 1440x900.sc
17.15 4000 APU 111 1280x720.sc
3.86 1000 APU 000 1440x900.sc
22.73 16000 APU 110 1440x900.sc
36.44 65000 APU 110 1440x900.sc
6.32 1000 APU 101 1280x720.sc
5.15 16000 APU 000 1440x900.sc
64.30 260000 APU 011 1920x1080.sc
9.60 1000 APU 111 1920x1080.sc
110.86 65000 APU 111 1440x900.sc
101.55 260000 APU 101 1440x900.sc
5.22 4000 APU 011 1280x720.sc
42.28 260000 APU 011 1280x720.sc
9.55 1000 APU 111 1920x1080.sc
8.35 4000 APU 100 1440x900.sc
8.55 1000 APU 111 1440x900.sc
101.47 260000 APU 101 1440x900.sc
4.23 1000 APU 011 1440x900.sc
18.48 65000 APU 011 1280x720.sc
56.53 16000 APU 111 1440x900.sc
7.43 4000 APU 100 1280x720.sc
137.18 65000 APU 111 1920x1080.sc
11.92 4000 APU 110 1440x900.sc
54.90 260000 APU 100 1920x1080.sc
4.09 1000 APU 011 1440x900.sc
9.59 1000 APU 111 1920x1080.sc
10.57 4000 APU 110 1280x720.sc
9.50 4000 APU 100 1920x1080.sc
36.11 65000 APU 110 1440x900.sc
10.56 16000 APU 011 1280x720.sc
3.91 1000 APU 001 1440x900.sc
18.47 65000 APU 011 1280x720.sc
21.18 4000 APU 111 1440x900.sc
11.28 16000 APU 100 1440x900.sc
65.58 16000 APU 111 1920x1080.sc
13.25 260000 APU 000 1440x900.sc
19.15 16000 APU 110 1280x720.sc
44.05 65000 APU 101 1440x900.sc
7.24 1000 APU 101 1440x900.sc
7.41 16000 APU 001 1440x900.sc
110.25 65000 APU 111 1440x900.sc
44.01 65000 APU 101 1440x900.sc
3.70 1000 APU 010 1280x720.sc
77.65 260000 APU 110 1440x900.sc
43.92 65000 APU 101 1440x900.sc
8.77 16000 APU 001 1920x1080.sc
11.81 260000 APU 000 1280x720.sc
13.95 16000 APU 100 1920x1080.sc
36.90 65000 APU 110 1440x900.sc
53.28 260000 APU 011 1440x900.sc
7.56 65000 APU 000 1440x900.sc
40.22 260000 APU 100 1280x720.sc
24.11 260000 APU 001 1440x900.sc
10.74 16000 APU 011 1280x720.sc
4.89 4000 APU 000 1920x1080.sc
16.15 65000 APU 100 1280x720.sc
92.63 260000 APU 110 1920x1080.sc
13.89 16000 APU 100 1920x1080.sc
5.56 4000 APU 010 1920x1080.sc
5.86 16000 APU 000 1920x1080.sc
22.98 65000 APU 100 1920x1080.sc
30.31 65000 APU 110 1280x720.sc
17.52 4000 APU 111 1280x720.sc
4.63 4000 APU 000 1440x900.sc
7.19 1000 APU 101 1440x900.sc
3.53 1000 APU 001 1280x720.sc
26.31 16000 APU 110 1920x1080.sc
4.09 1000 APU 000 1920x1080.sc
19.88 16000 APU 110 1280x720.sc
9.62 4000 APU 100 1920x1080.sc
55.61 65000 APU 101 1920x1080.sc
4.40 4000 APU 010 1280x720.sc
6.29 65000 APU 000 1280x720.sc
82.76 260000 APU 101 1280x720.sc
5.06 4000 APU 000 1920x1080.sc
13.59 16000 APU 011 1440x900.sc
4.24 4000 APU 000 1440x900.sc
13.26 260000 APU 000 1440x900.sc
7.81 1000 APU 111 1280x720.sc
65.00 260000 APU 011 1920x1080.sc
4.44 1000 APU 011 1920x1080.sc
4.15 1000 APU 000 1920x1080.sc
23.28 16000 APU 110 1440x900.sc
7.97 1000 APU 101 1920x1080.sc
4.53 1000 APU 011 1920x1080.sc
3.58 1000 APU 001 1280x720.sc
4.27 1000 APU 010 1440x900.sc
8.23 16000 APU 010 1920x1080.sc
14.00 4000 APU 110 1920x1080.sc
7.38 1000 APU 110 1440x900.sc
7.97 16000 APU 010 1920x1080.sc
9.28 65000 APU 001 1280x720.sc
65.93 16000 APU 111 1920x1080.sc
3.86 1000 APU 000 1440x900.sc
4.25 1000 APU 011 1440x900.sc
5.96 1000 APU 100 1440x900.sc
3.86 1000 APU 011 1280x720.sc
7.12 16000 APU 010 1440x900.sc
24.72 4000 APU 111 1920x1080.sc
19.97 4000 APU 111 1440x900.sc
11.02 4000 APU 110 1280x720.sc
4.37 4000 APU 000 1440x900.sc
7.91 1000 APU 110 1920x1080.sc
3.75 1000 APU 010 1280x720.sc
196.10 260000 APU 111 1280x720.sc
15.48 65000 APU 100 1280x720.sc
26.50 16000 APU 110 1920x1080.sc
6.40 4000 APU 011 1440x900.sc
92.67 260000 APU 110 1920x1080.sc
29.99 65000 APU 110 1280x720.sc
13.14 16000 APU 011 1440x900.sc
8.18 16000 APU 010 1920x1080.sc
44.13 65000 APU 110 1920x1080.sc
29.67 65000 APU 011 1920x1080.sc
307.32 260000 APU 111 1920x1080.sc
6.64 1000 APU 101 1280x720.sc
8.04 1000 APU 110 1920x1080.sc
135.85 65000 APU 111 1920x1080.sc
56.13 16000 APU 111 1440x900.sc
250.18 260000 APU 111 1440x900.sc
4.64 4000 APU 010 1280x720.sc
55.40 65000 APU 101 1920x1080.sc
4.61 4000 APU 000 1920x1080.sc
19.27 65000 APU 100 1440x900.sc
7.41 16000 APU 010 1440x900.sc
13.52 16000 APU 100 1920x1080.sc
30.58 16000 APU 101 1920x1080.sc
4.40 1000 APU 001 1920x1080.sc
4.66 16000 APU 000 1280x720.sc
6.75 1000 APU 100 1920x1080.sc
19.25 260000 APU 010 1440x900.sc
309.37 260000 APU 111 1920x1080.sc
14.98 4000 APU 101 1920x1080.sc
11.11 65000 APU 001 1440x900.sc
67.15 260000 APU 110 1280x720.sc
7.54 16000 APU 010 1440x900.sc
14.98 260000 APU 000 1920x1080.sc
4.02 1000 APU 001 1440x900.sc
54.64 260000 APU 100 1920x1080.sc
5.57 4000 APU 001 1920x1080.sc
5.53 4000 APU 001 1920x1080.sc
5.34 16000 APU 000 1440x900.sc
43.46 16000 APU 111 1280x720.sc
13.51 65000 APU 001 1920x1080.sc
4.68 4000 APU 010 1280x720.sc
22.46 65000 APU 100 1920x1080.sc
10.58 4000 APU 101 1280x720.sc
9.52 1000 APU 111 1920x1080.sc
7.30 1000 APU 110 1440x900.sc
55.06 260000 APU 100 1920x1080.sc
6.28 16000 APU 001 1280x720.sc
11.43 260000 APU 000 1280x720.sc
5.92 16000 APU 000 1920x1080.sc
4.10 1000 APU 000 1920x1080.sc
55.41 65000 APU 101 1920x1080.sc
4.12 1000 APU 001 1920x1080.sc
17.10 4000 APU 111 1280x720.sc
7.19 65000 APU 000 1440x900.sc
12.00 65000 APU 010 1920x1080.sc
8.08 1000 APU 101 1920x1080.sc
3.87 1000 APU 010 1440x900.sc
19.97 16000 APU 110 1280x720.sc
22.35 260000 APU 010 1920x1080.sc
11.99 260000 APU 000 1280x720.sc
9.21 65000 APU 010 1280x720.sc
11.39 16000 APU 100 1440x900.sc
6.97 4000 APU 100 1280x720.sc
65.41 260000 APU 011 1920x1080.sc
4.62 4000 APU 010 1280x720.sc
32.38 4000 GPU 100 1280x720.sc
20.18 65000 GPU 010 1280x720.sc
4.54 1000 GPU 101 1280x720.sc
55.41 260000 CPU 000 1920x1080.sc
1.78 4000 GPU 000 1280x720.sc
7.72 4000 CPU 001 1440x900.sc
17.55 4000 GPU 110 1440x900.sc
5.02 1000 CPU 000 1920x1080.sc
15.20 1000 CPU 100 1280x720.sc
3.99 1000 CPU 000 1440x900.sc
634.05 260000 CPU 111 1920x1080.sc
28.98 1000 CPU 111 1920x1080.sc
32.58 4000 CPU 100 1440x900.sc
5.57 1000 CPU 010 1920x1080.sc
28.05 65000 GPU 010 1920x1080.sc
3.09 1000 CPU 000 1280x720.sc
38.40 4000 CPU 101 1440x900.sc
103.84 260000 GPU 001 1920x1080.sc
1.62 1000 GPU 010 1920x1080.sc
49.29 65000 GPU 100 1280x720.sc
10.12 16000 CPU 000 1440x900.sc
253.77 260000 CPU 110 1280x720.sc
22.64 1000 CPU 110 1440x900.sc
3.94 1000 CPU 011 1280x720.sc
4.93 4000 CPU 000 1280x720.sc
65.62 16000 CPU 110 1280x720.sc
226.79 260000 CPU 100 1440x900.sc
8.95 4000 CPU 010 1440x900.sc
8.75 16000 GPU 010 1280x720.sc
3.13 4000 GPU 010 1280x720.sc
457.43 65000 GPU 111 1920x1080.sc
52.11 16000 CPU 101 1280x720.sc
253.98 260000 CPU 110 1280x720.sc
258.96 260000 GPU 100 1920x1080.sc
8.26 4000 CPU 000 1920x1080.sc
239.25 260000 CPU 101 1280x720.sc
230.44 260000 GPU 100 1440x900.sc
77.41 260000 CPU 010 1920x1080.sc
94.03 65000 CPU 101 1280x720.sc
3.63 16000 GPU 000 1280x720.sc
633.64 260000 CPU 111 1920x1080.sc
4.38 4000 GPU 001 1920x1080.sc
7.66 1000 GPU 111 1440x900.sc
71.10 16000 CPU 101 1440x900.sc
120.93 65000 GPU 110 1440x900.sc
1.54 1000 GPU 011 1280x720.sc
8.20 4000 CPU 011 1280x720.sc
18.11 1000 CPU 110 1280x720.sc
37.42 16000 CPU 100 1280x720.sc
19.51 1000 CPU 100 1440x900.sc
24.39 4000 CPU 100 1280x720.sc
1.59 1000 GPU 001 1920x1080.sc
234.59 65000 CPU 111 1440x900.sc
64.79 16000 GPU 101 1920x1080.sc
59.74 65000 GPU 100 1440x900.sc
315.00 260000 CPU 110 1440x900.sc
81.57 260000 CPU 011 1280x720.sc
3.80 4000 GPU 010 1440x900.sc
19.10 65000 CPU 001 1280x720.sc
19.48 1000 CPU 100 1440x900.sc
21.47 65000 CPU 010 1280x720.sc
3.68 1000 CPU 010 1280x720.sc
53.21 4000 CPU 111 1440x900.sc
253.62 260000 CPU 110 1280x720.sc
40.09 260000 GPU 000 1280x720.sc
13.16 16000 CPU 000 1920x1080.sc
18.24 16000 CPU 001 1920x1080.sc
4.90 1000 CPU 000 1920x1080.sc
381.93 260000 CPU 110 1920x1080.sc
3.81 4000 GPU 010 1440x900.sc
85.56 260000 GPU 010 1920x1080.sc
226.57 260000 CPU 100 1440x900.sc
77.49 260000 CPU 010 1920x1080.sc
24.46 16000 GPU 100 1920x1080.sc
56.42 16000 GPU 110 1920x1080.sc
322.41 260000 GPU 110 1280x720.sc
3.66 1000 CPU 010 1280x720.sc
376.89 65000 GPU 111 1440x900.sc
321.98 260000 GPU 110 1280x720.sc
5.90 1000 CPU 011 1920x1080.sc
103.99 260000 CPU 011 1440x900.sc
22.42 16000 GPU 011 1280x720.sc
